   Total number of tokens: 42
   ngram,count,frequency
   and,2,4.761904762
   of,2,4.761904762
   words,2,4.761904762
   are,2,4.761904762
   to,2,4.761904762
   calculates,1,2.380952381
   Also,1,2.380952381
   syllables,1,2.380952381
   sentences,1,2.380952381
   characters,1,2.380952381
   counts,1,2.380952381
   also,1,2.380952381
   It,1,2.380952381
   supported,1,2.380952381
   texts,1,2.380952381
   language,1,2.380952381
   Non-English,1,2.380952381
   lexical,1,2.380952381
   number,1,2.380952381
   You,1,2.380952381
   frequencies,1,2.380952381
   The,1,2.380952381
   expected,1,2.380952381
   develop,1,2.380952381
   a,1,2.380952381
   text,1,2.380952381
   analyzer,1,2.380952381
   tool,1,2.380952381
   program,1,2.380952381
   phrases,1,2.380952381
   allows,1,2.380952381
   you,1,2.380952381
   find,1,2.380952381
   the,1,2.380952381
   most,1,2.380952381
   frequent,1,2.380952381
   density,1,2.380952381
